;ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
0;0;1;1;1;1;1;73.83;0.73
1;1;1;1;0;1;1;28.13;1.02
2;0;1;1;0;1;1;51.88;7.22
3;0;1;1;1;1;1;80.84;3.64
4;0;1;1;0;1;1;30.89;7.2
5;2;1;1;0;1;1;63.96;1.07
6;0;1;1;1;0;1;49.7;0.56
7;1;1;1;1;0;2;64.48;0.59
8;1;1;1;0;0;2;62.56;0.91
9;1;1;1;0;0;2;39.79;0.75
10;1;1;1;1;1;1;59.97;0.62
11;0;1;1;0;1;1;46.66;7.51
12;0;1;1;0;0;1;2.87;2.14
13;1;1;2;1;0;2;64.48;0.59
14;2;1;2;0;1;1;7.81;7.49
15;2;1;2;1;0;2;59.78;1.36
16;2;1;2;0;1;1;62.66;7.36
17;2;1;2;0;0;2;5.08;2.42
18;0;1;2;0;1;1;28.04;6.27
19;1;1;2;1;0;2;60.91;0.86
20;2;1;2;0;1;1;4.42;6.95
21;0;1;2;0;0;2;7.16;1.29
22;2;1;2;0;1;1;43.19;7.51
23;0;1;2;0;1;1;52.99;1.68
24;2;1;2;0;1;1;72.12;7.15
25;1;1;2;0;1;1;72.56;0.67
26;2;1;2;0;1;1;21.04;7.31
27;2;1;2;0;1;1;84.39;5.92
28;2;1;2;0;1;1;83.18;4.42
29;0;1;2;0;1;1;84.92;5.32
30;2;1;2;0;1;1;87.88;6.92
31;0;1;2;0;1;1;31.93;7.6
32;2;1;2;0;1;1;48.34;7.03
33;1;1;2;0;0;2;62.05;0.55
34;2;1;2;0;1;1;41.24;7.07
35;2;1;2;1;0;1;66.54;0.64
36;2;1;2;0;1;1;30.0;7.07
37;1;1;2;1;0;2;45.76;0.6
38;2;1;2;0;0;3;36.64;1.8
39;1;1;2;0;0;2;55.84;0.65
40;2;1;2;0;1;1;14.31;7.15
41;2;1;2;0;1;1;81.18;6.94
42;0;1;2;0;1;1;75.64;2.99
43;0;1;2;0;1;1;52.57;1.48
44;1;1;2;0;0;3;0.0;0.47
45;2;1;2;0;1;1;44.62;7.09
46;1;1;2;0;0;2;54.15;0.53
47;0;1;2;0;1;1;33.48;5.34
48;0;1;2;0;1;1;45.48;4.36
49;0;1;2;0;1;1;76.45;2.7
50;0;1;1;0;1;1;16.13;7.33
51;2;1;1;1;1;1;51.42;2.74
52;0;1;1;0;0;1;62.28;0.67
53;0;1;1;0;0;2;33.26;1.47
54;0;1;1;0;0;2;31.97;0.81
55;3;1;1;1;1;1;75.24;2.27
56;2;1;1;0;1;1;15.39;7.47
57;0;1;1;1;1;1;41.66;7.33
58;1;1;1;0;0;2;83.85;0.38
59;1;1;1;0;1;1;49.49;1.06
60;1;1;1;0;0;3;55.84;0.65
61;1;1;1;0;0;2;49.7;0.56
62;0;1;1;0;1;1;66.02;4.34
63;1;1;1;0;1;1;0.0;0.52
64;2;1;1;0;0;3;24.83;3.19
65;0;1;1;0;1;1;56.0;1.23
66;0;1;1;0;1;1;26.26;5.57
67;0;1;1;0;1;1;4.71;7.17
68;1;1;1;0;0;2;59.97;0.62
69;1;1;1;1;0;2;54.15;0.53
70;1;1;1;0;0;3;70.14;0.91
71;0;1;1;0;0;2;71.22;0.96
72;3;1;1;0;1;1;72.86;1.23
73;3;1;1;0;0;1;3.86;0.8
74;0;1;1;0;1;1;33.83;7.7
75;0;1;1;0;1;1;55.65;5.32
76;3;1;1;0;1;1;2.75;1.12
77;3;1;1;0;0;1;1.92;1.6
78;0;1;1;0;1;1;74.14;4.68
79;0;1;1;0;1;1;60.04;1.05
80;0;1;1;0;1;1;40.78;5.74
81;1;1;1;0;0;2;77.6;0.44
82;0;1;1;0;0;2;68.3;0.69
83;2;1;1;1;0;2;69.35;1.03
84;0;1;1;0;1;1;48.47;7.37
85;0;1;1;0;1;1;34.71;5.55
86;0;1;1;0;1;1;15.06;4.95
87;1;1;1;0;0;2;68.3;0.69
88;0;1;1;0;0;1;50.89;1.17
89;1;1;1;0;1;1;8.87;0.69
90;1;1;1;0;0;2;59.97;0.62
91;2;1;1;1;1;1;22.58;0.98
92;0;1;1;0;1;1;55.35;1.3
93;1;1;1;0;0;3;77.03;0.66
94;1;1;1;0;0;2;64.48;0.59
95;0;1;1;1;0;1;42.56;0.71
96;1;1;1;1;0;2;42.78;0.79
97;0;1;3;0;0;1;33.16;1.08
98;0;1;3;0;1;1;70.78;4.54
99;2;1;2;0;1;1;65.78;5.87
100;0;1;1;1;0;2;18.59;1.01
101;1;1;1;0;0;2;70.14;0.91
102;2;1;1;0;1;1;30.82;7.32
103;1;1;1;1;0;2;53.57;1.07
104;1;1;1;0;0;2;53.45;1.33
105;2;1;1;0;1;1;43.72;7.21
106;2;1;1;0;1;1;77.95;6.9
107;1;1;1;0;0;3;39.79;0.75
108;2;1;1;0;1;1;44.93;7.05
109;0;1;1;0;0;1;25.09;2.78
110;1;1;1;0;1;1;75.89;1.49
111;0;1;2;0;1;1;7.94;5.04
112;1;1;2;0;0;3;71.09;0.62
113;0;1;2;0;1;1;78.22;2.57
114;0;1;2;0;1;1;24.02;5.53
115;0;1;2;0;1;1;4.48;2.74
116;0;1;2;0;1;1;40.67;7.15
117;1;1;2;1;0;2;62.05;0.55
118;0;1;2;0;1;1;14.02;3.32
119;0;1;2;0;1;1;51.81;7.29
120;1;1;2;0;0;2;12.88;1.2
121;1;1;2;0;0;3;17.02;0.55
122;0;1;2;0;1;1;86.99;6.92
123;0;1;2;1;1;1;27.06;7.3
124;0;1;2;0;1;1;52.38;7.03
125;0;1;2;0;1;1;54.36;7.19
126;0;1;2;0;1;1;85.53;3.98
127;0;1;2;0;1;1;23.25;7.19
128;0;1;2;0;1;1;18.52;7.08
129;2;1;2;0;0;2;48.67;0.71
130;0;1;2;0;1;1;11.44;7.29
131;0;1;2;0;1;1;71.75;2.71
132;0;1;2;0;1;1;3.09;5.97
133;2;1;2;0;1;1;17.71;7.22
134;2;1;2;0;1;1;65.36;7.07
135;1;1;2;1;0;2;70.94;0.45
136;1;1;2;0;0;2;59.07;0.81
137;2;1;2;0;1;1;51.28;7.21
138;0;1;2;1;1;1;42.97;0.86
