;ShotType;Transition;TwoLegged;Angle;Distance;competition_EURO;competition_NBA;competition_SLO1;competition_U14;playertype_F;playertype_G;movement_dribble or cut;movement_no
0;0;1;1;73.83;0.73;0;0;0;1;1;0;0;1
1;1;0;1;28.13;1.02;0;0;0;1;1;0;0;1
2;0;0;1;51.88;7.22;0;0;0;1;1;0;0;1
3;0;1;1;80.84;3.64;0;0;0;1;1;0;0;1
4;0;0;1;30.89;7.2;0;0;0;1;1;0;0;1
5;5;0;1;63.96;1.07;0;0;0;1;1;0;0;1
6;0;1;0;49.7;0.56;0;0;0;1;1;0;0;1
7;1;1;0;64.48;0.59;0;0;0;1;1;0;1;0
8;1;0;0;62.56;0.91;0;0;0;1;1;0;1;0
9;1;0;0;39.79;0.75;0;0;0;1;1;0;1;0
10;1;1;1;59.97;0.62;0;0;0;1;1;0;0;1
11;0;0;1;46.66;7.51;0;0;0;1;1;0;0;1
12;0;0;0;2.87;2.14;0;0;0;1;1;0;0;1
13;1;1;0;64.48;0.59;0;0;0;1;0;1;1;0
14;5;0;1;7.81;7.49;0;0;0;1;0;1;0;1
15;5;1;0;59.78;1.36;0;0;0;1;0;1;1;0
16;5;0;1;62.66;7.36;0;0;0;1;0;1;0;1
17;5;0;0;5.08;2.42;0;0;0;1;0;1;1;0
18;0;0;1;28.04;6.27;0;0;0;1;0;1;0;1
19;1;1;0;60.91;0.86;0;0;0;1;0;1;1;0
20;5;0;1;4.42;6.95;0;0;0;1;0;1;0;1
21;0;0;0;7.16;1.29;0;0;0;1;0;1;1;0
22;5;0;1;43.19;7.51;0;0;0;1;0;1;0;1
23;0;0;1;52.99;1.68;0;0;0;1;0;1;0;1
24;5;0;1;72.12;7.15;0;0;0;1;0;1;0;1
25;1;0;1;72.56;0.67;0;0;0;1;0;1;0;1
26;5;0;1;21.04;7.31;0;0;0;1;0;1;0;1
27;5;0;1;84.39;5.92;0;0;0;1;0;1;0;1
28;5;0;1;83.18;4.42;0;0;0;1;0;1;0;1
29;0;0;1;84.92;5.32;0;0;0;1;0;1;0;1
30;5;0;1;87.88;6.92;0;0;0;1;0;1;0;1
31;0;0;1;31.93;7.6;0;0;0;1;0;1;0;1
32;5;0;1;48.34;7.03;0;0;0;1;0;1;0;1
33;1;0;0;62.05;0.55;0;0;0;1;0;1;1;0
34;5;0;1;41.24;7.07;0;0;0;1;0;1;0;1
35;5;1;0;66.54;0.64;0;0;0;1;0;1;0;1
36;5;0;1;30.0;7.07;0;0;0;1;0;1;0;1
37;1;1;0;45.76;0.6;0;0;0;1;0;1;1;0
38;5;0;0;36.64;1.8;0;0;0;1;0;1;0;0
39;1;0;0;55.84;0.65;0;0;0;1;0;1;1;0
40;5;0;1;14.31;7.15;0;0;0;1;0;1;0;1
41;5;0;1;81.18;6.94;0;0;0;1;0;1;0;1
42;0;0;1;75.64;2.99;0;0;0;1;0;1;0;1
43;0;0;1;52.57;1.48;0;0;0;1;0;1;0;1
44;1;0;0;0.0;0.47;0;0;0;1;0;1;0;0
45;5;0;1;44.62;7.09;0;0;0;1;0;1;0;1
46;1;0;0;54.15;0.53;0;0;0;1;0;1;1;0
47;0;0;1;33.48;5.34;0;0;0;1;0;1;0;1
48;0;0;1;45.48;4.36;0;0;0;1;0;1;0;1
49;0;0;1;76.45;2.7;0;0;0;1;0;1;0;1
50;0;0;1;16.13;7.33;0;0;0;1;1;0;0;1
51;5;1;1;51.42;2.74;0;0;0;1;1;0;0;1
52;0;0;0;62.28;0.67;0;0;0;1;1;0;0;1
53;0;0;0;33.26;1.47;0;0;0;1;1;0;1;0
54;0;0;0;31.97;0.81;0;0;0;1;1;0;1;0
55;3;1;1;75.24;2.27;0;0;0;1;1;0;0;1
56;5;0;1;15.39;7.47;0;0;0;1;1;0;0;1
57;0;1;1;41.66;7.33;0;0;0;1;1;0;0;1
58;1;0;0;83.85;0.38;0;0;0;1;1;0;1;0
59;1;0;1;49.49;1.06;0;0;0;1;1;0;0;1
60;1;0;0;55.84;0.65;0;0;0;1;1;0;0;0
61;1;0;0;49.7;0.56;0;0;0;1;1;0;1;0
62;0;0;1;66.02;4.34;0;0;0;1;1;0;0;1
63;1;0;1;0.0;0.52;0;0;0;1;1;0;0;1
64;5;0;0;24.83;3.19;0;0;0;1;1;0;0;0
65;0;0;1;56.0;1.23;0;0;0;1;1;0;0;1
66;0;0;1;26.26;5.57;0;0;0;1;1;0;0;1
67;0;0;1;4.71;7.17;0;0;0;1;1;0;0;1
68;1;0;0;59.97;0.62;0;0;0;1;1;0;1;0
69;1;1;0;54.15;0.53;0;0;0;1;1;0;1;0
70;1;0;0;70.14;0.91;0;0;0;1;1;0;0;0
71;0;0;0;71.22;0.96;0;0;0;1;1;0;1;0
72;3;0;1;72.86;1.23;0;0;0;1;1;0;0;1
73;3;0;0;3.86;0.8;0;0;0;1;1;0;0;1
74;0;0;1;33.83;7.7;0;0;0;1;1;0;0;1
75;0;0;1;55.65;5.32;0;0;0;1;1;0;0;1
76;3;0;1;2.75;1.12;0;0;0;1;1;0;0;1
77;3;0;0;1.92;1.6;0;0;0;1;1;0;0;1
78;0;0;1;74.14;4.68;0;0;0;1;1;0;0;1
79;0;0;1;60.04;1.05;0;0;0;1;1;0;0;1
80;0;0;1;40.78;5.74;0;0;0;1;1;0;0;1
81;1;0;0;77.6;0.44;0;0;0;1;1;0;1;0
82;0;0;0;68.3;0.69;0;0;0;1;1;0;1;0
83;5;1;0;69.35;1.03;0;0;0;1;1;0;1;0
84;0;0;1;48.47;7.37;0;0;0;1;1;0;0;1
85;0;0;1;34.71;5.55;0;0;0;1;1;0;0;1
86;0;0;1;15.06;4.95;0;0;0;1;1;0;0;1
87;1;0;0;68.3;0.69;0;0;0;1;1;0;1;0
88;0;0;0;50.89;1.17;0;0;0;1;1;0;0;1
89;1;0;1;8.87;0.69;0;0;0;1;1;0;0;1
90;1;0;0;59.97;0.62;0;0;0;1;1;0;1;0
91;5;1;1;22.58;0.98;0;0;0;1;1;0;0;1
92;0;0;1;55.35;1.3;0;0;0;1;1;0;0;1
93;1;0;0;77.03;0.66;0;0;0;1;1;0;0;0
94;1;0;0;64.48;0.59;0;0;0;1;1;0;1;0
95;0;1;0;42.56;0.71;0;0;0;1;1;0;0;1
96;1;1;0;42.78;0.79;0;0;0;1;1;0;1;0
97;0;0;0;33.16;1.08;0;0;0;1;0;0;0;1
98;0;0;1;70.78;4.54;0;0;0;1;0;0;0;1
99;5;0;1;65.78;5.87;0;0;0;1;0;1;0;1
100;0;1;0;18.59;1.01;0;0;0;1;1;0;1;0
101;1;0;0;70.14;0.91;0;0;0;1;1;0;1;0
102;5;0;1;30.82;7.32;0;0;0;1;1;0;0;1
103;1;1;0;53.57;1.07;0;0;0;1;1;0;1;0
104;1;0;0;53.45;1.33;0;0;0;1;1;0;1;0
105;5;0;1;43.72;7.21;0;0;0;1;1;0;0;1
106;5;0;1;77.95;6.9;0;0;0;1;1;0;0;1
107;1;0;0;39.79;0.75;0;0;0;1;1;0;0;0
108;5;0;1;44.93;7.05;0;0;0;1;1;0;0;1
109;0;0;0;25.09;2.78;0;0;0;1;1;0;0;1
110;1;0;1;75.89;1.49;0;0;0;1;1;0;0;1
111;0;0;1;7.94;5.04;0;0;0;1;0;1;0;1
112;1;0;0;71.09;0.62;0;0;0;1;0;1;0;0
113;0;0;1;78.22;2.57;0;0;0;1;0;1;0;1
114;0;0;1;24.02;5.53;0;0;0;1;0;1;0;1
115;0;0;1;4.48;2.74;0;0;0;1;0;1;0;1
116;0;0;1;40.67;7.15;0;0;0;1;0;1;0;1
117;1;1;0;62.05;0.55;0;0;0;1;0;1;1;0
118;0;0;1;14.02;3.32;0;0;0;1;0;1;0;1
119;0;0;1;51.81;7.29;0;0;0;1;0;1;0;1
120;1;0;0;12.88;1.2;0;0;0;1;0;1;1;0
121;1;0;0;17.02;0.55;0;0;0;1;0;1;0;0
122;0;0;1;86.99;6.92;0;0;0;1;0;1;0;1
123;0;1;1;27.06;7.3;0;0;0;1;0;1;0;1
124;0;0;1;52.38;7.03;0;0;0;1;0;1;0;1
125;0;0;1;54.36;7.19;0;0;0;1;0;1;0;1
126;0;0;1;85.53;3.98;0;0;0;1;0;1;0;1
127;0;0;1;23.25;7.19;0;0;0;1;0;1;0;1
128;0;0;1;18.52;7.08;0;0;0;1;0;1;0;1
129;5;0;0;48.67;0.71;0;0;0;1;0;1;1;0
130;0;0;1;11.44;7.29;0;0;0;1;0;1;0;1
131;0;0;1;71.75;2.71;0;0;0;1;0;1;0;1
132;0;0;1;3.09;5.97;0;0;0;1;0;1;0;1
133;5;0;1;17.71;7.22;0;0;0;1;0;1;0;1
134;5;0;1;65.36;7.07;0;0;0;1;0;1;0;1
135;1;1;0;70.94;0.45;0;0;0;1;0;1;1;0
136;1;0;0;59.07;0.81;0;0;0;1;0;1;1;0
137;5;0;1;51.28;7.21;0;0;0;1;0;1;0;1
138;0;1;1;42.97;0.86;0;0;0;1;0;1;0;1
139;1;1;0;71.09;0.62;0;0;0;1;0;1;1;0
140;1;1;0;57.01;0.77;0;0;0;1;1;0;1;0
141;1;0;0;29.62;0.54;0;0;0;1;1;0;0;0
142;5;0;1;64.78;7.05;0;0;0;1;1;0;0;1
143;0;0;1;60.91;7.17;0;0;0;1;1;0;0;1
144;0;0;1;41.88;7.14;0;0;0;1;1;0;0;1
145;0;0;1;49.65;7.38;0;0;0;1;1;0;0;1
146;0;1;1;58.14;1.2;0;0;0;1;1;0;0;1
147;5;1;0;70.94;0.45;0;0;0;1;1;0;1;0
148;0;0;1;80.97;3.69;0;0;0;1;1;0;0;1
149;1;0;1;59.97;0.62;0;0;0;1;1;0;0;1
150;5;0;1;22.85;7.17;0;0;0;1;1;0;0;1
151;1;0;0;75.89;0.61;0;0;0;1;1;0;1;0
