"number_of_elements","mean_atomic_mass","wtd_mean_atomic_mass","gmean_atomic_mass","wtd_gmean_atomic_mass","entropy_atomic_mass","wtd_entropy_atomic_mass","range_atomic_mass","wtd_range_atomic_mass","std_atomic_mass","wtd_std_atomic_mass","mean_fie","wtd_mean_fie","gmean_fie","wtd_gmean_fie","entropy_fie","wtd_entropy_fie","range_fie","wtd_range_fie","std_fie","wtd_std_fie","mean_atomic_radius","wtd_mean_atomic_radius","gmean_atomic_radius","wtd_gmean_atomic_radius","entropy_atomic_radius","wtd_entropy_atomic_radius","range_atomic_radius","wtd_range_atomic_radius","std_atomic_radius","wtd_std_atomic_radius","mean_Density","wtd_mean_Density","gmean_Density","wtd_gmean_Density","entropy_Density","wtd_entropy_Density","range_Density","wtd_range_Density","std_Density","wtd_std_Density","mean_ElectronAffinity","wtd_mean_ElectronAffinity","gmean_ElectronAffinity","wtd_gmean_ElectronAffinity","entropy_ElectronAffinity","wtd_entropy_ElectronAffinity","range_ElectronAffinity","wtd_range_ElectronAffinity","std_ElectronAffinity","wtd_std_ElectronAffinity","mean_FusionHeat","wtd_mean_FusionHeat","gmean_FusionHeat","wtd_gmean_FusionHeat","entropy_FusionHeat","wtd_entropy_FusionHeat","range_FusionHeat","wtd_range_FusionHeat","std_FusionHeat","wtd_std_FusionHeat","mean_ThermalConductivity","wtd_mean_ThermalConductivity","gmean_ThermalConductivity","wtd_gmean_ThermalConductivity","entropy_ThermalConductivity","wtd_entropy_ThermalConductivity","range_ThermalConductivity","wtd_range_ThermalConductivity","std_ThermalConductivity","wtd_std_ThermalConductivity","mean_Valence","wtd_mean_Valence","gmean_Valence","wtd_gmean_Valence","entropy_Valence","wtd_entropy_Valence","range_Valence","wtd_range_Valence","std_Valence","wtd_std_Valence","critical_temp"
4.0,0.097482,0.09603,0.07011,0.07629,0.001155,0.001176,0.157055,0.034797,0.06142,0.054808,790.9,743.764286,737.86492,709.565324,1.313694,1.294297,810.6,211.607143,313.560449,251.04988,167.0,170.785714,140.611449,152.834786,1.254609,1.217227,205.0,55.285714,79.161228,66.702087,47.603572,60.002041,7.371454,19.667635,0.010343,0.008865,89.58571,38.397959,33.586678,32.08363,82337.5,86089.285714,60721.492826,66099.255665,1164.0132,1037.614388,127050.0,48075.0,51125.719738,47646.245462,-446.6101,-443.451486,-453.084728,-449.096799,-457.683584,-457.975801,-436.4896,-449.621371,-451.402719,-451.867831,0.114257,0.183647,0.009295,0.031625,0.000455,0.000286,0.399973,0.171425,0.16555,0.187725,2.25,2.214286,2.213364,2.181543,1.368922,1.308515,1.0,0.571429,0.433013,0.410326,-183.15
4.0,0.076445,0.051246,0.059357,0.034935,0.0012,0.001292,0.121328,0.014288,0.043823,0.044192,794.0,1003.623077,741.629349,937.559192,1.315004,0.890516,810.6,659.715385,311.743492,342.396001,164.5,114.538462,139.000514,89.685191,1.256701,1.339743,205.0,22.615385,77.525802,79.235399,42.358572,29.524618,6.695566,0.663422,0.010154,0.008128,89.58571,20.669228,31.949389,36.391292,77237.5,109169.230769,53527.964649,86539.377298,1105.182174,762.761032,127050.0,74353.846154,54830.755227,49445.714361,-444.9451,-450.219446,-452.405976,-457.263544,-457.668223,-457.792731,-436.4896,-454.443631,-450.76332,-449.502598,0.108757,0.096399,0.007552,0.001096,0.000336,0.000203,0.399973,0.092293,0.168301,0.16644,2.25,2.076923,2.213364,2.063362,1.368922,1.201823,1.0,0.846154,0.433013,0.266469,-180.15
4.0,0.076445,0.04838,0.059357,0.032488,0.0012,0.001327,0.121328,0.01102,0.043823,0.043919,794.0,1032.743529,741.629349,966.02803,1.315004,0.825171,810.6,714.491765,311.743492,341.953488,164.5,109.494118,139.000514,84.839216,1.256701,1.36489,205.0,15.764706,77.525802,79.644301,42.358572,24.984406,6.695566,0.429291,0.010154,0.009131,89.58571,15.803359,31.949389,33.980412,77237.5,110090.588235,53527.964649,87527.432022,1105.182174,698.66321,127050.0,81642.352941,54830.755227,49865.709363,-444.9451,-451.309529,-452.405976,-457.697994,-457.668223,-457.635978,-436.4896,-455.743882,-450.76332,-449.809903,0.108757,0.074745,0.007552,0.000669,0.000336,0.000253,0.399973,0.070573,0.168301,0.150736,2.25,2.094118,2.213364,2.077798,1.368922,1.16437,1.0,0.894118,0.433013,0.291992,-183.15
4.0,0.088944,0.057795,0.066362,0.036099,0.001182,0.001225,0.122906,0.020687,0.051969,0.053521,775.425,1008.614286,718.1529,935.0463,1.305967,0.824743,810.6,714.45,323.811808,357.824566,160.25,108.0,136.126003,85.477006,1.259244,1.331339,205.0,23.714286,75.23754,73.324134,46.543572,28.485309,7.249532,0.522736,0.010331,0.009324,89.58571,13.161834,33.061629,35.112622,81837.5,110267.857143,60123.178555,94575.504941,1159.686593,784.461486,127050.0,80325.0,51433.71189,45170.682682,-447.2401,-452.614514,-453.406945,-457.776943,-457.710564,-457.668669,-436.4896,-456.529771,-451.391685,-451.178245,0.107757,0.061229,0.007062,0.000631,0.000308,0.000288,0.399973,0.057128,0.168854,0.138447,2.25,2.214286,2.213364,2.181543,1.368922,1.141474,1.0,1.0,0.433013,0.410326,-250.15
5.0,0.072325,0.051153,0.058637,0.034881,0.001445,0.001345,0.121328,0.020457,0.040054,0.044174,787.02,1003.792277,745.091012,937.770159,1.551741,0.926162,810.6,697.944646,279.181098,342.271618,162.8,114.670462,142.245339,89.763921,1.50446,1.402613,205.0,37.051077,69.424491,79.295176,49.634858,29.394298,10.961473,0.662394,0.01318,0.009452,89.58571,19.594028,32.068491,36.19484,65230.0,107936.830769,42655.03213,84546.235896,1253.393884,766.789037,127050.0,76524.369231,54606.314653,50432.907301,-442.92208,-450.204326,-450.380932,-457.262041,-457.167645,-457.574247,-435.2296,-454.726591,-450.735035,-449.480684,0.102805,0.092547,0.012078,0.001075,0.000714,0.000266,0.399973,0.087493,0.151003,0.163049,2.4,2.088923,2.352158,2.073426,1.589027,1.26447,1.0,1.040923,0.489898,0.284633,-216.15
5.0,0.105766,0.10292,0.080384,0.072626,0.001427,0.001044,0.157055,0.065222,0.05738,0.06609,740.94,807.905,693.484881,761.134002,1.537628,1.286781,810.6,303.15,297.724924,299.686564,172.6,159.45,150.114785,136.097847,1.505466,1.229346,205.0,79.05,71.684308,72.272038,50.374858,53.511572,11.265775,8.328297,0.013376,0.009906,89.58571,26.276428,30.547865,33.475584,75770.0,89447.5,58290.125697,77100.658559,1399.561608,1211.500152,127050.0,34852.5,47577.301311,43186.309969,-446.95408,-446.8441,-452.328554,-453.200118,-457.193866,-457.767035,-436.4896,-453.8749,-452.243585,-451.413007,0.094005,0.117157,0.00994,0.010269,0.000569,0.00047,0.399973,0.099993,0.153512,0.164035,2.4,2.45,2.352158,2.400331,1.589027,1.299838,1.0,1.1,0.489898,0.497494,-193.95
4.0,0.090279,0.089678,0.06699,0.073278,0.001178,0.001185,0.128243,0.030673,0.053286,0.046631,773.025,727.697143,714.946184,689.636013,1.304578,1.281836,810.6,219.06,325.570464,261.75369,163.0,168.565714,138.006406,151.201488,1.257753,1.20417,205.0,55.285714,76.645287,65.496826,48.703572,60.044899,7.491889,19.591153,0.010345,0.00895,89.58571,38.397959,34.227286,32.52037,82337.5,85162.285714,60721.492826,64084.221896,1164.0132,1030.981551,127050.0,47677.714286,51125.719738,48650.305892,-446.8801,-443.641257,-453.216941,-449.247077,-457.693193,-458.002127,-436.4896,-449.621371,-451.415633,-451.798505,0.108757,0.178958,0.007552,0.026509,0.000336,0.000203,0.399973,0.171425,0.168301,0.191514,2.25,2.188571,2.213364,2.158916,1.368922,1.315393,1.0,0.571429,0.433013,0.391168,-253.15
5.0,0.066552,0.050925,0.050698,0.034663,0.001384,0.001328,0.121328,0.020857,0.043907,0.044323,750.64,998.866073,705.366437,931.669402,1.541997,0.928288,810.6,693.886987,292.0061,345.170672,155.2,114.584043,134.520826,89.789801,1.491873,1.401485,205.0,37.366383,71.792479,79.227269,39.286858,28.760553,8.849171,0.668866,0.012761,0.008985,89.58571,19.425349,29.229309,35.652369,70590.0,107761.037955,51470.112718,84910.055752,1343.521183,789.237213,127050.0,75590.627421,50812.266236,50161.793459,-444.03808,-450.223274,-450.841781,-457.240862,-457.156439,-457.567935,-436.4896,-454.769708,-451.499694,-449.574282,0.134005,0.094515,0.01502,0.001116,0.000866,0.000369,0.399973,0.08674,0.158777,0.163392,2.4,2.092951,2.352158,2.076815,1.589027,1.28048,1.0,1.024012,0.489898,0.290364,-188.15
5.0,0.083245,0.075861,0.059506,0.063977,0.001312,0.001351,0.192981,0.027354,0.067234,0.050429,779.88,704.638889,740.399333,689.153962,1.553219,1.411333,764.1,258.161111,276.063148,168.168818,149.8,162.611111,133.425311,155.584553,1.519537,1.34879,171.0,61.777778,58.608532,40.733741,45.842858,58.517461,8.741648,30.72702,0.011618,0.009356,97.78571,39.821428,40.042732,37.083804,73100.0,73453.888889,33148.782764,33772.385147,1200.885906,862.871426,138630.0,52428.888889,57645.672518,55562.883308,-444.99568,-441.1718,-451.30642,-444.242376,-457.162713,-457.584006,-436.4896,-449.2122,-451.820153,-453.772016,0.128605,0.228946,0.014288,0.086691,0.000872,0.00063,0.399973,0.177776,0.154008,0.166718,2.6,2.333333,2.402249,2.214346,1.519383,1.448154,3.0,0.777778,1.2,0.942809,-169.15
4.0,0.076445,0.051246,0.059357,0.034935,0.0012,0.001292,0.121328,0.014288,0.043823,0.044192,794.0,1003.623077,741.629349,937.559192,1.315004,0.890516,810.6,659.715385,311.743492,342.396001,164.5,114.538462,139.000514,89.685191,1.256701,1.339743,205.0,22.615385,77.525802,79.235399,42.358572,29.524618,6.695566,0.663422,0.010154,0.008128,89.58571,20.669228,31.949389,36.391292,77237.5,109169.230769,53527.964649,86539.377298,1105.182174,762.761032,127050.0,74353.846154,54830.755227,49445.714361,-444.9451,-450.219446,-452.405976,-457.263544,-457.668223,-457.792731,-436.4896,-454.443631,-450.76332,-449.502598,0.108757,0.096399,0.007552,0.001096,0.000336,0.000203,0.399973,0.092293,0.168301,0.16644,2.25,2.076923,2.213364,2.063362,1.368922,1.201823,1.0,0.846154,0.433013,0.266469,-181.15
